"許可番号","申請者住所","申請者法人名称","申請者役職","申請者氏名","営業者電話番号","営業所所在地","営業所名称","営業所電話番号","業種","詳細業種","初施行日","LocName","fX","fY","iConf","iLvl"
保生第695,神奈川県横浜市西区北幸１−１−８,株式会社大戸屋,代表取締役,蔵人 賢樹,045-577-0348,横須賀市若松町２−３０ 横須賀モアーズシティ８Ｆ,大戸屋ごはん処 横須賀モアーズシティ店,887-0560,飲食店営業,飲食店（客席を設ける営業）,2022/11/22 0:00,"神奈川県/横須賀市/若松町/二丁目/３０番地","139.66986","35.27821","5","7"
保生第699,,,,,,横須賀市本町１−５−８ １Ｆ,ＡＬＩＢＡＢＡ ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/22 0:00,"神奈川県/横須賀市/本町/一丁目/５番地","139.66684","35.28185","5","7"
保生第700,,,,,,横須賀市米が浜通１−７,舞音 ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/22 0:00,"神奈川県/横須賀市/米が浜通/一丁目/７番地","139.67368","35.27813","5","7"
保生第688,神奈川県横須賀市久里浜１−５−８ ＳＴビル１０１　２Ｆ,ブルーベイ合同会社,代表社員,劉 勇,046-876-9658,横須賀市久里浜１−５−８ ＳＴビル１０１−２Ｆ,海鮮居酒屋　龍 ,876-9658,飲食店営業,飲食店（客席を設ける営業）,2022/11/24 0:00,"神奈川県/横須賀市/久里浜/一丁目/５番","139.70155","35.23098","5","7"
保生第691,,,,,,横須賀市大矢部３−１６−５,魚丼　大矢部店 ,854-5615,飲食店営業,飲食店（客席を設けない営業）,2022/11/24 0:00,"神奈川県/横須賀市/大矢部/三丁目/１６番","139.67638","35.24042","5","7"
保生第694,,,,,,横須賀市長沢１−５５−６,柳井 ,,漬物製造業,塩漬け,2022/11/24 0:00,"神奈川県/横須賀市/長沢/一丁目/５５番","139.67535","35.21010","5","7"
保生第697,神奈川県横須賀市長井５−６−２,株式会社ベジッシュ,代表取締役,宍戸 和信,046-857-7227,横須賀市佐原１−１４−４,Ｄｅｌｉ　Ｆａｃｔｏｒｙ　ベジッシュ ,854-5358,そうざい製造業,そうざい,2022/11/24 0:00,"神奈川県/横須賀市/佐原/一丁目/１４番","139.68048","35.24033","5","7"
保生第698,神奈川県横須賀市長井５−６−２,株式会社ベジッシュ,代表取締役,宍戸 和信,046-857-7227,横須賀市佐原１−１４−４,Ｄｅｌｉ　Ｆａｃｔｏｒｙ　ベジッシュ ,854-5358,飲食店営業,弁当屋,2022/11/24 0:00,"神奈川県/横須賀市/佐原/一丁目/１４番","139.68048","35.24033","5","7"
保生第704,,,,,,横須賀市根岸町４−２５−６ コーポつくしの１０２,ラーメン凛 ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/24 0:00,"神奈川県/横須賀市/根岸町/四丁目/２５番","139.68130","35.25214","5","7"
保生第707,新潟県新潟市中央区女池上山３−１４−１０,株式会社Ｆｕｓｉｏｎ'ｚ,代表取締役,佐藤 洋彰,025-384-0985,横須賀市大滝町１−１７,ローソン横須賀大滝町一丁目店 ,,飲食店営業,飲食店（客席を設けない営業）,2022/11/28 0:00,"神奈川県/横須賀市/大滝町/一丁目/１７番地","139.66925","35.28260","5","7"
保生第710,,,,,,横須賀市米が浜通１−１８,栄八 ,825-9250,飲食店営業,飲食店（客席を設ける営業）,2022/11/29 0:00,"神奈川県/横須賀市/米が浜通/一丁目/１８番地","139.67505","35.27715","5","7"
保生第712,神奈川県横須賀市田浦町２−８０−１,社会福祉法人横須賀基督教社会館,理事長,岸川 洋治,046-861-9773,横須賀市田浦町２−８０−１,社会福祉法人横須賀基督教社会館 ,861-9771,菓子製造業,菓子,2022/11/29 0:00,"神奈川県/横須賀市/田浦町/二丁目/８０番地","139.63374","35.29205","5","7"
保生第713,,,,,,横須賀市本町１−５−８ ２Ｆ,ＳＡＭＵ ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/29 0:00,"神奈川県/横須賀市/本町/一丁目/５番地","139.66684","35.28185","5","7"
保生第717,,,,,,横須賀市追浜本町１−５８ ジオホーム店舗２Ｆ,ボードゲームスタジアム ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/29 0:00,"神奈川県/横須賀市/追浜本町/一丁目/５８番地","139.62741","35.31728","5","7"
保生第719,,,,,,横須賀市大矢部３−１６−５,麺屋　大助 ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/29 0:00,"神奈川県/横須賀市/大矢部/三丁目/１６番","139.67638","35.24042","5","7"
保生第727,,,,,,横須賀市長沢１−３８−３,酒処　桃太郎 ,,飲食店営業,飲食店（客席を設ける営業）,2022/11/30 0:00,"神奈川県/横須賀市/長沢/一丁目/３８番","139.67473","35.20620","5","7"
保生第728,,,,,,横須賀市久里浜４−１６−５,あいうえおかし ,,飲食店営業,飲食店（客席を設けない営業）,2022/11/30 0:00,"神奈川県/横須賀市/久里浜/四丁目/１６番","139.70258","35.22886","5","7"
保生第729,,,,,,横須賀市久里浜４−１６−５,あいうえおかし ,,菓子製造業,菓子,2022/11/30 0:00,"神奈川県/横須賀市/久里浜/四丁目/１６番","139.70258","35.22886","5","7"
保生第733,神奈川県横浜市中区黄金町２−８−８−２,株式会社ルームエージェント,代表取締役,松尾 和重,046-827-7878,横須賀市大津町１−１７−７−１０１,カフェ　プルメリア ,827-7870,飲食店営業,飲食店（客席を設ける営業）,2022/11/30 0:00,"神奈川県/横須賀市/大津町/一丁目/１７番","139.69482","35.26263","5","7"
